epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
27,114.896,0.82747,1.39719,0.31757,0.57676,0.92825,0.99447,1,0.9937,0.82045,0.99447,1,0.9937,0.73633,0.70101,0.91713,0.1193,0.43545,0.85307,0.00123791,0.00123791,0.00123791
28,118.451,0.84557,1.36596,0.32409,0.57786,0.92822,0.99368,1,0.99465,0.80438,0.99368,1,0.99465,0.77921,0.70905,0.83125,0.1128,0.43717,0.84925,0.00122141,0.00122141,0.00122141
29,122.899,0.86039,1.30678,0.31517,0.56621,0.93997,0.99461,1,0.99465,0.81368,0.99461,1,0.99465,0.7408,0.70794,0.90101,0.10136,0.42842,0.84515,0.00120491,0.00120491,0.00120491
30,127.453,0.8603,1.33951,0.32999,0.57815,0.92648,0.9949,1,0.99465,0.80726,0.9949,1,0.99465,0.78553,0.72653,0.8621,0.09279,0.42934,0.84781,0.0011884,0.0011884,0.0011884
31,130.997,0.86216,1.40544,0.31315,0.57394,0.92706,0.99499,0.9986,0.99395,0.81196,0.99499,0.9986,0.99395,0.78845,0.70659,0.88959,0.09475,0.43964,0.84253,0.0011719,0.0011719,0.0011719
32,134.575,0.81674,1.2721,0.30624,0.55292,0.92293,0.98967,1,0.99359,0.81176,0.98967,1,0.99359,0.81506,0.71311,0.77302,0.0936,0.43041,0.84395,0.0011554,0.0011554,0.0011554
33,139.692,0.83105,1.28751,0.31019,0.54746,0.93615,0.99481,1,0.9931,0.82382,0.99481,1,0.9931,0.79364,0.71087,0.80592,0.08781,0.41789,0.84104,0.00113889,0.00113889,0.00113889
34,143.516,0.83076,1.22238,0.3,0.5628,0.91672,0.99469,1,0.99365,0.82656,0.99469,1,0.99365,0.81373,0.68481,0.70784,0.08534,0.4264,0.84535,0.00112239,0.00112239,0.00112239
35,147.265,0.82415,1.26486,0.35311,0.57864,0.93339,0.995,0.99963,0.9946,0.8262,0.995,0.99963,0.9946,0.79476,0.67716,0.73827,0.086,0.41497,0.84087,0.00110589,0.00110589,0.00110589
36,151.372,0.79821,1.22497,0.33526,0.55333,0.92251,0.99477,1,0.99455,0.81949,0.99477,1,0.99455,0.8202,0.68992,0.70333,0.08708,0.4259,0.84092,0.00108938,0.00108938,0.00108938
37,156.224,0.81093,1.17266,0.29777,0.55034,0.90798,0.99475,1,0.99395,0.8294,0.99475,1,0.99395,0.82564,0.66833,0.67867,0.08595,0.41303,0.83758,0.00107288,0.00107288,0.00107288
38,159.841,0.8031,1.11905,0.31329,0.54505,0.91844,0.99464,1,0.9931,0.81636,0.99464,1,0.9931,0.80669,0.6853,0.70597,0.08044,0.40422,0.84071,0.00105638,0.00105638,0.00105638
39,163.555,0.8237,1.14607,0.32717,0.54731,0.93512,0.99466,1,0.99255,0.83181,0.99466,1,0.99255,0.81644,0.67251,0.70493,0.08093,0.40624,0.83524,0.00103987,0.00103987,0.00103987
40,168.938,0.78341,1.10813,0.29583,0.5317,0.90534,0.99469,1,0.99305,0.8351,0.99469,1,0.99305,0.82762,0.66214,0.6762,0.07947,0.40736,0.83106,0.00102337,0.00102337,0.00102337
41,172.437,0.76959,1.07713,0.29803,0.53153,0.9143,0.99465,1,0.99375,0.83662,0.99465,1,0.99375,0.85236,0.67531,0.64709,0.07861,0.40476,0.83494,0.00100687,0.00100687,0.00100687
42,176.032,0.78498,1.13404,0.30202,0.53134,0.91619,0.99461,1,0.99465,0.82682,0.99461,1,0.99465,0.84427,0.68001,0.65213,0.07586,0.40392,0.84186,0.000990365,0.000990365,0.000990365
43,180.425,0.78875,1.06345,0.29253,0.52372,0.92503,0.99467,1,0.99375,0.82891,0.99467,1,0.99375,0.83765,0.66871,0.63643,0.07199,0.40054,0.8376,0.000973861,0.000973861,0.000973861
44,185.09,0.78171,1.02211,0.27115,0.52007,0.90142,0.99469,1,0.9945,0.82004,0.99469,1,0.9945,0.84102,0.69839,0.62865,0.07484,0.40748,0.84184,0.000957358,0.000957358,0.000957358
